feature_config,model,imbalance_treatment_smote,cv_accuracy_mean_smote,cv_accuracy_std_smote,cv_precision_mean_smote,cv_precision_std_smote,cv_recall_mean_smote,cv_recall_std_smote,cv_positive_class_f1_mean_smote,cv_positive_class_f1_std_smote,cv_macro_f1_mean_smote,cv_macro_f1_std_smote,cv_balanced_accuracy_mean_smote,cv_balanced_accuracy_std_smote,cv_roc_auc_mean_smote,cv_roc_auc_std_smote,cv_average_precision_mean_smote,cv_average_precision_std_smote,voting_weights_smote,imbalance_treatment_none,cv_accuracy_mean_none,cv_accuracy_std_none,cv_precision_mean_none,cv_precision_std_none,cv_recall_mean_none,cv_recall_std_none,cv_positive_class_f1_mean_none,cv_positive_class_f1_std_none,cv_macro_f1_mean_none,cv_macro_f1_std_none,cv_balanced_accuracy_mean_none,cv_balanced_accuracy_std_none,cv_roc_auc_mean_none,cv_roc_auc_std_none,cv_average_precision_mean_none,cv_average_precision_std_none,voting_weights_none,delta_cv_recall,delta_cv_positive_class_f1,delta_cv_average_precision,improved_recall_and_positive_class_f1
extended_low_cost,catboost,smotenc_0.25,0.9874745792203272,0.0009783883780264,0.1244469582704876,0.0629653272276146,0.0244897959183673,0.0060845387142851,0.0396241598739472,0.0083319465550426,0.5166600638678014,0.004127439927428,0.5111377275632359,0.0028138466158913,0.6952898753791741,0.0303126849353038,0.0432606339973981,0.0142600000085626,,none,0.9893483616796388,3.2316946700362905e-05,0.1,0.223606797749979,0.0027210884353741,0.0060845387142851,0.0052980132450331,0.0118467177615882,0.4999717616524305,0.0059313516926309,0.5013168405768987,0.003025982466207,0.7760074987357499,0.0203355000358662,0.0763012902447569,0.0225751664577371,,0.0217687074829931,0.0343261466289141,-0.0330406562473588,True
extended_low_cost,extra_trees,smotenc_0.25,0.9824010190646107,0.0013389004547471,0.0574253085042003,0.0370708081912944,0.0408163265306122,0.0215120929263155,0.0475003519328505,0.027146914244806,0.5193092931989558,0.0138327058099062,0.5166496443210945,0.0111154025009884,0.6655128471365672,0.0162392222735775,0.0287949017989126,0.0048509316140342,,none,0.9894060162208907,3.4145623676107106e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.4973374002861213,8.627566106098855e-08,0.5,0.0,0.7646048119783982,0.0179138632039625,0.0695523125062543,0.0152168940557639,,0.0408163265306122,0.0475003519328505,-0.0407574107073416,True
extended_low_cost,logistic_regression,smotenc_0.25,0.9564421826265586,0.0032000222007894,0.0662772238494577,0.0119540506944594,0.2353741496598639,0.0302701979065129,0.1033682524944368,0.0174485755486723,0.5405228560777047,0.0094735430225605,0.5997685550469738,0.0162598276353274,0.6972975826897205,0.0262226305399473,0.0451571688888686,0.0148204582651693,,none,0.9892907071383868,8.223745978599749e-05,0.1166666666666666,0.1624465724134827,0.0027210884353741,0.0037260037925521,0.0053156732891832,0.0072788523708156,0.4999660214757335,0.0036410156201248,0.5012877041089284,0.0018468405774218,0.7816774133502344,0.0189987992219906,0.0847621989633756,0.028472191820628,,0.2326530612244898,0.0980525792052536,-0.0396050300745069,True
extended_low_cost,random_forest,smotenc_0.25,0.983885612334733,0.0021137983215532,0.0981332723966805,0.0715515387741091,0.0517006802721088,0.0141064226893385,0.065840124282798,0.0270051716795922,0.5288561006978755,0.0140204512756616,0.5227837929398365,0.0079713415442635,0.7033619605428302,0.015404088555325,0.0418930183624022,0.0124627279699886,,none,0.9894060162208907,3.4145623676107106e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.4973374002861213,8.627566106098855e-08,0.5,0.0,0.7675781341593348,0.0155166243398864,0.0780895575450133,0.0226733467077976,,0.0517006802721088,0.065840124282798,-0.0361965391826111,True
extended_low_cost,soft_voting,smotenc_0.25,0.985889087126908,0.0015122157359866,0.1217947322884429,0.0923816230627298,0.0435374149659863,0.0156610400451991,0.0626524729318443,0.0277440531628326,0.5277715903451037,0.014177303511331,0.5197583278033095,0.0082638423116475,0.7040568308834844,0.0267487140000858,0.0462343277164062,0.0162590073357747,"(1, 1, 2)",none,0.9893916028452784,3.214562379964043e-05,0.1,0.223606797749979,0.001360544217687,0.0030422693571425,0.0026845637583892,0.0060028670536907,0.4986760016271598,0.0030034150132238,0.5006657044054419,0.0015090016933031,0.7816538805814309,0.0201277100308978,0.0822472237339344,0.0258073192318534,"(2, 1, 2)",0.0421768707482993,0.059967909173455,-0.0360128960175282,True
lifestyle_only,catboost,smotenc_0.25,0.9881231925497131,0.0006655626084526,0.078454225513049,0.059883332825102,0.0122448979591836,0.0088696631363301,0.0210954375008134,0.015394892957593,0.5075603421978931,0.0076762151101265,0.5054086140036566,0.0043455744736543,0.7091047946045644,0.0156998062503512,0.0393460095892174,0.0079735262465306,,none,0.9893916028452784,3.214562379964043e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.4973337583316138,8.122518509179216e-06,0.4999927161482992,1.6287187540969176e-05,0.7436222783301893,0.0168693420078556,0.0473422343933538,0.0093367702848296,,0.0122448979591836,0.0210954375008134,-0.0079962248041363,True
lifestyle_only,extra_trees,smotenc_0.25,0.979258861628997,0.0016530221902648,0.0476853200132144,0.0200418207951382,0.0489795918367347,0.0169386389088282,0.0481808695799552,0.0183962999917132,0.5188478174517106,0.0094933938035568,0.5190996724392534,0.0088937779330649,0.6610447247036702,0.0222354923741227,0.0263106135551921,0.004374713004304,,none,0.9894060162208907,3.4145623676107106e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.4973374002861213,8.627566106098855e-08,0.5,0.0,0.7162011891910087,0.0164069345413229,0.0396110436418452,0.0067498515421153,,0.0489795918367347,0.0481808695799552,-0.0133004300866531,True
lifestyle_only,logistic_regression,smotenc_0.25,0.9566439532643048,0.0031413668036837,0.0607238744792527,0.0119279149425135,0.2122448979591837,0.0344865084507117,0.0943495951785115,0.0175792658401117,0.5360691096990435,0.0093209962264295,0.588429724354689,0.0176394539307111,0.7271927483528902,0.0130759083936901,0.044957164454334,0.0082907610516879,,none,0.9894060162208907,3.4145623676107106e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.4973374002861213,8.627566106098855e-08,0.5,0.0,0.7545051500542288,0.0128572362807015,0.0540046005873317,0.0102754538232735,,0.2122448979591837,0.0943495951785115,-0.0090474361329976,True
lifestyle_only,random_forest,smotenc_0.25,0.9820406867519004,0.0021812633323776,0.060497832514906,0.0168251025478966,0.0462585034013605,0.0121690774285702,0.0514955436277923,0.0104985575867341,0.5212144917848498,0.0051870498686331,0.5191595015877295,0.0053605762682805,0.7010490709211418,0.0164763152105206,0.0340912864409005,0.0050541645206967,,none,0.9894060162208907,3.4145623676107106e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.4973374002861213,8.627566106098855e-08,0.5,0.0,0.7261349498548455,0.0099295993490236,0.0443250312738814,0.0114030736426166,,0.0462585034013605,0.0514955436277923,-0.0102337448329809,True
lifestyle_only,soft_voting,smotenc_0.25,0.980772257757902,0.0021077807613035,0.0957815854017745,0.0328975989465717,0.0925170068027211,0.0228676684543831,0.0931567906878788,0.0246809653120647,0.5417195442094621,0.0126337070995699,0.541400093668233,0.0114859623548104,0.7244551406698726,0.0127579894560301,0.0433670752320092,0.0094555629834681,"(2, 1, 1)",none,0.9894060162208907,3.4145623676107106e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.4973374002861213,8.627566106098855e-08,0.5,0.0,0.7510509810582062,0.0154614181223177,0.050843968602677,0.0098664743036183,"(2, 1, 1)",0.0925170068027211,0.0931567906878788,-0.0074768933706677,True
