operating_point,threshold,accuracy,precision,recall,specificity,false_positive_rate,positive_class_f1,macro_f1,weighted_f1,balanced_accuracy,pr_auc,tn,fp,fn,tp,operational_tradeoff
Default threshold,0.5,0.781678773204197,0.03155339805825243,0.6582278481012658,0.7830047586675731,0.21699524133242692,0.06022003474232773,0.4683567261452298,0.8678190030684899,0.7206163033844195,0.06918834331970704,11518,3192,54,104,"Flags more profiles and finds more reported cases, but produces many more false positives and very low precision."
F2 operating point,0.7879034938787791,0.9512375571697606,0.07110438729198185,0.2974683544303797,0.9582596872875595,0.04174031271244052,0.11477411477411477,0.544851178838107,0.965787514341148,0.6278640208589696,0.06918834331970704,14096,614,111,47,"Reduces false positives and improves precision/F1, while missing more reported cases than the default threshold."
